64
2825,3516,7610,7218,4277,4688,1270,8581,4869,1776,5566,7100,2587,8620,2772,2925,2268,9547,3078,2007,3111,1791,1521,5984,5221,1706,4233,5633,4941,9300,3956,3674,5817,7975,4189,8899,5207,7976,1292,9791,9021,4979,6679,9914,7407,1945,8187,9158,2237,6790,8371,6977,4363,9452,8231,4205,6945,2600,5451,7406,9770,6360,3145,9114
4500,3736,9825,7639,9047,9378,9438,8429,4086,2010,5755,2072,5635,8240,8206,7079,2944,9869,8204,8326,7600,8404,1631,5203,4624,6779,9652,5880,7804,9274,7483,6912,3485,4812,6834,6633,7538,7074,3202,2952,4721,8953,1462,6159,5471,3256,9119,2540,9344,9936,3625,4546,6533,7512,8435,7317,8080,2641,3714,4005,6148,1050,1361,3498
1270,2654,8570,8422,2125,2507,2148,7168,9802,8846,1436,8987,7249,1369,2707,9074,8708,8479,2535,3898,2287,7566,4467,4634,5590,3066,1328,4455,4056,1878,4304,4876,7831,6698,2246,4918,4244,2252,5601,4382,9107,7345,3957,3762,3257,4862,5464,4260,3446,8896,7755,5010,8541,9598,2331,6597,6202,8187,6370,6226,4813,6390,1313,1137
5436,7076,6449,7241,5009,4392,6058,3612,1101,6689,2169,8524,8242,3270,4950,2534,8287,8318,1471,6816,2007,9010,4610,4934,5446,6431,8896,1135,8447,7202,1426,6086,2076,2212,7288,3287,4039,9319,1874,5381,7271,1797,3169,1626,2749,8204,2219,8665,9854,4870,5990,2786,3285,4258,5177,7809,7316,4805,7055,7142,2344,2782,1908,6257
4499,1337,1251,1452,7873,9823,2689,1348,1524,4195,4029,7842,3656,5916,2782,5156,7601,6535,2138,9420,1988,9619,6664,7892,2560,8037,5123,5639,7322,5909,9402,7013,3140,5289,5185,2250,7424,4752,3829,9972,1778,8190,2011,2902,9778,1433,8337,2131,6493,3434,5183,5921,6000,3066,5509,3164,6225,8900,5423,9384,3151,1661,3522,5010
9148,8876,8117,1485,2988,5949,1036,4330,1477,6494,8204,6577,2296,3409,2655,7594,8701,2099,6418,1248,4870,5765,2406,8467,3880,1408,2319,5149,3069,1260,2014,7329,2238,1059,7873,8361,9348,1794,7065,9943,3887,8377,7513,6475,1777,1969,5309,1920,3380,2184,3914,5916,9944,7090,5169,5773,9152,6445,7024,1598,6240,9399,6483,1971
2939,5174,4671,2835,6095,7271,2230,7805,7869,1332,7471,4293,1756,2125,9636,6086,6988,5515,6319,1105,8916,4852,7345,6434,2674,2396,4913,9639,1989,7760,7423,2982,5744,4222,1557,3746,9684,8915,3181,5675,7660,3229,8728,3466,8610,8448,7237,1509,3010,2725,2375,9121,2330,7104,9157,3987,7515,2798,4920,4136,1757,9075,7221,1126
5192,8519,8103,5964,1931,3776,6051,4564,3278,8395,7999,6040,9240,4584,2068,3589,5335,9358,1194,7668,6808,7822,6338,9357,7897,8121,9453,8015,1397,7982,4268,1961,6295,5325,7051,8761,6174,2050,2117,6007,7213,1933,5685,7210,5827,1174,6428,3816,7685,8827,5267,3534,6110,3048,5863,3766,2554,8686,6556,9859,3835,6448,7926,7592
2589,6257,3716,2369,6764,4720,6563,7603,6768,8577,5588,9279,1227,3291,7053,9599,7995,7737,2547,8953,3048,5879,6574,1735,3154,9720,2577,8095,1367,6439,4405,2096,6025,7428,3415,6862,2193,8980,1380,8297,2507,8853,9080,2713,4619,7255,8401,5165,7963,2170,2990,4339,1516,5181,3204,6334,1363,4396,9650,3015,6152,6944,7710,2333
8799,9755,2281,9458,5925,3982,2590,2777,5274,8573,4618,4213,7800,3114,9287,4377,4221,1857,2427,3022,4133,6938,9253,1135,7593,4621,2475,1247,4074,8743,8526,5044,6993,7187,5683,9684,4160,9142,5586,6332,9461,4164,4596,9893,8203,3545,9096,5118,7434,9746,4199,1684,8220,7164,3339,1658,3832,5465,8913,7178,9757,8696,3851,9021
6239,3718,9590,3927,5996,4522,9924,3284,9227,8721,7631,4500,7168,7490,8733,2368,4324,5228,3551,8400,6343,7833,8062,4051,7210,1277,2028,9925,8597,8146,3318,2889,3879,9491,3945,1396,7855,5150,9165,6902,5168,6526,6253,9828,7658,4291,9616,9774,8307,3690,7483,7250,7259,8850,6305,4640,1278,9442,6119,2525,2555,7614,2516,7577
2898,7732,9166,5194,6933,9332,6807,8130,1508,4558,8782,3539,8283,5407,2392,2460,8048,9147,2906,5871,3370,7289,8269,9537,9642,5883,4367,5937,2446,3378,6840,8052,1307,7150,2636,5417,4723,3247,9840,5835,4187,8309,2483,8545,1061,5006,8580,4220,3164,5561,3305,1221,3785,8590,7313,2836,3685,4271,2252,2604,3764,5863,9457,9806
3727,1585,2635,7481,4601,1058,8409,7856,7645,7967,5403,9066,8878,5201,9812,7705,6531,8601,2121,6058,7023,6851,2172,4323,6937,2916,7481,4035,3315,3059,6113,1165,5217,1370,6379,9548,6735,4323,6043,3900,6324,4947,5251,6850,5993,5141,7324,2986,2960,1015,6288,6224,8156,9772,6050,1481,7159,2145,4853,2568,3428,5346,3268,8258
5806,2366,5229,8206,9803,2277,4568,6444,6399,5845,6814,7741,2854,7342,7380,6985,2275,2556,2681,7701,2491,7238,7271,4321,4262,6059,1958,7357,6688,6602,7143,8772,9829,6949,8494,9604,5729,7732,6816,8865,5909,8708,7274,1963,5046,7505,9876,1941,6565,4263,6420,2111,4354,4531,2486,9892,6803,8870,1682,3222,6232,1697,3341,3925
5412,9069,1913,5926,6153,4792,7155,2184,8899,5418,9615,7267,1237,4239,1649,4182,1483,7614,2355,5619,7336,4889,9550,3146,7815,1763,7736,6069,9834,6926,7933,4768,6485,2843,1973,2281,3633,1726,5619,6614,4353,2862,6224,7064,5586,5227,3692,9607,8256,2054,4178,1642,7087,7941,6024,5103,5319,8124,7670,4349,1809,9019,6996,1475
5392,5728,9565,9980,5959,4099,6699,7183,2155,9332,4262,7967,3597,1310,1739,8772,8564,8424,5268,2322,9073,6100,2415,2505,4170,7711,2287,1718,6319,2640,3338,9248,9179,5385,1658,1417,7483,9827,7384,4743,7214,6181,6926,7088,5966,5234,2760,2221,1553,3960,9565,1941,3326,2894,7314,3720,2790,3239,4493,6714,4316,7389,6564,5455
3512,2248,3998,4086,8618,1580,6894,9902,7451,9306,9324,6564,9758,6762,2161,1845,1187,4156,6118,3973,1939,8096,3841,6108,1184,1078,1465,8223,3643,3346,1274,9482,3914,9874,2554,7623,2864,2496,2808,6519,4072,2519,4400,2587,3808,7749,6635,8763,1582,3469,4064,4622,3200,7127,1217,2470,6893,4825,1774,4546,7854,5088,5225,1898
3022,4225,9293,1391,3308,3196,9181,1354,6303,8090,7667,2627,9769,7471,8497,6528,7119,5108,1290,5493,7986,6297,5721,7268,8557,1183,9249,4537,5370,9871,4339,1549,8568,2250,5408,7787,1600,2613,6281,8569,7679,8211,4452,4178,2144,8808,5210,1440,7957,9803,1673,8732,5106,5027,4093,3783,3337,9048,4849,7659,8090,1493,1467,7035
5583,3029,3353,4405,3996,4450,6814,1031,7490,8472,9675,4406,9099,2391,1741,1439,7345,2745,5917,9995,4494,9688,6132,3239,7662,5734,6431,6035,7874,7957,1108,1415,9853,1910,9098,1798,3534,4088,6760,8788,8342,9565,5675,9030,7797,4092,1343,9413,3103,9001,5031,2934,5863,5312,9985,8567,7808,9948,8026,6182,6693,8690,7182,6277
