16
9357,1501,2730,8683,9624,8175,4720,6102,7212,6572,1452,8966,4986,9311,5156,1027
7664,7298,3322,2536,4232,2657,7652,9717,2390,3798,3361,1963,4251,2752,9520,6576
7546,9933,3753,3896,8638,2191,9083,4927,6128,2829,5404,5482,1139,2942,1188,9772
6220,1857,2739,6453,4345,9016,1101,9984,9284,2183,2293,4295,7540,5875,9246,2641
6371,1942,3670,6945,7242,9168,5020,4556,9747,9794,7938,2303,6378,1667,8672,7158
5570,2478,5147,2077,4203,6937,9474,5165,3225,9204,8437,8426,4852,4066,6745,2307
4564,8329,9654,9112,1481,1295,4645,9240,7582,9226,9006,4720,7510,6888,9329,7429
6153,7302,1255,7301,9286,9578,3034,2017,9221,4642,6269,9756,1285,8034,2702,5861
5950,2504,2997,8273,1711,9049,1668,4798,2743,9450,5437,4407,9311,4217,2426,6866
3718,7471,3325,1195,5172,7347,7962,8833,1987,5553,6478,7767,4477,2423,1082,4733
8845,5873,1010,9501,3768,9541,3582,9467,7967,6406,2767,6432,1044,1248,5725,2728
2324,2447,1685,5007,8248,3501,8861,5744,9493,1088,8742,7357,1220,8315,6597,3626
2110,2633,4201,8622,4201,7321,9032,2907,1236,4419,1633,1601,8586,4714,5215,2525
9953,8147,2693,3421,2430,5890,9044,8768,5478,9257,4591,7820,4558,8028,9391,3719
5543,5599,4781,1391,2338,8150,9909,1609,3461,7149,4570,7763,7864,4737,4318,1338
9577,9688,4054,2147,6381,3943,4560,1857,5731,9401,6917,2926,9019,2221,7453,9882
